Deutsch,Latein,Standort (Boden),Standort (Licht),Blütezeit,Aussaatzeit,Tags,Blütenfarbe,Höhe min,Höhe max,Formula,Typ
Mediterrane Wolfsmilch,Euphorbia characias,"normal, trocken",sonnig,"April, Juni, Mai",kühl,,gelb,100,150,No,Staude
Faulbaum,Rhamnus frangula,feucht,"halbschattig, schattig, sonnig","August, Juli, Juni, Mai",,,weiß,200,600,No,Gehölz
Blut-Storchschnabel,Geranium sanguineum,"normal, trocken",sonnig,"August, Juli, Juni, Mai, September",kühl,mehrjährig,rot,20,40,No,Staude
Bach-Nelkenwurz,Geum rivale,"feucht, nass","halbschattig, sonnig","April, Juli, Juni, Mai",kühl,,"braun, orange",20,40,No,Staude
Jakobsleiter,Polemonium caeruleum,"feucht, normal","halbschattig, sonnig","Juli, Juni",normal,mehrjährig,blau,70,100,No,Staude
Teufelsabbiss,Succisa pratensis,"feucht, nass",sonnig,"August, Juli, September",kühl,,violett,40,70,No,Staude
Große Sterndolde,Astrantia major,"feucht, normal","halbschattig, schattig, sonnig","August, Juli, Juni, Mai",kalt,mehrjährig,,70,100,Yes,Staude
Arznei-Baldrian,Valeriana officinalis,"feucht, normal","halbschattig, sonnig","August, Juli, Juni",normal,ausbreitend,weiß,100,150,No,Staude
Blauer Natternkopf,Echium vulgare,"normal, trocken",sonnig,,kühl,,blau,70,100,No,Staude
Borretsch,Borago officinales,normal,sonnig,,normal,einjährig,blau,50,80,No,Staude
Portulakröschen,Portulaca grandiflora,trocken,sonnig,,normal,einjährig,"gelb, orange, rosa, rot",10,20,No,Staude
Fenchel-Agastache,Agastache feoniculum,normal,sonnig,,normal,,blau,40,70,No,Staude
Echter Eibisch,Althaea officinalis,"feucht, normal",sonnig,,kühl,,weiß,100,150,No,Staude
Tagetes Double Pinwheel,Tagetes patula,normal,sonnig,,normal,,rostrot-gelb,0,0,No,Staude
Rosenpappel,Malva alcea var. Fastigiata,normal,sonnig,,kühl,Dunkelkeimer,rosa,100,150,No,Staude
Sonnenblume,Helanthius annuus,normal,sonnig,,normal,einjährig,"gelb, rot",50,200,No,Staude
Raublatt-Aster,Aster novae-angliae,normal,sonnig,,"licht, normal",,"rosa, rot",100,150,No,Staude
Wilde Karde,Dipsacus fullonum,"feucht, normal",sonnig,,normal,,blau,100,150,No,Staude
Goldlack,Erysimum cheiri,normal,sonnig,,normal,zweijährig,"dunkelrot, gelb, rotbraun, weiß",0,0,No,Staude
Mariendistel,Silybum marianum,trocken,sonnig,,normal,Blattschmuck,rot,100,150,No,Staude
Kapuzinerkresse,Tropaeolum majus,normal,sonnig,,normal,einjährig,"gelb, orange, rot",20,50,No,Staude
Steinquendel,Calamintha nepeta,trocken,sonnig,,kühl,,"blau, weiß",40,70,No,Staude
Mauretanische Malve,Malva sylvestris subsp. mauritiana,normal,sonnig,,kühl,,rot,70,100,No,Staude
Zottiger Klappertopf,Rhinanthus alectorolophus,normal,sonnig,,kalt,,gelb,40,80,Yes,Staude
Cosmea,Cosmos bipinnatus,normal,sonnig,,normal,einjährig,"rosa, rot, weiß",80,120,No,Staude
Jungfer im Grünen,Nigella damascena,normal,"halbschattig, sonnig",,normal,direktsaat möglich,blau,40,70,No,Staude
Rosarote Bergminze,Agastache cana,normal,sonnig,,normal,,rot,40,70,No,Staude
Löwenmäulchen,Antirrhinum majus,normal,sonnig,,normal,einjährig,rot,30,50,No,Staude
Rosa Ziest,Stachys monnieri,normal,sonnig,,kühl,Beetrand,rosa,20,40,No,Staude
Langblättriger Ehrenpreis,Veronica longifolia,"feucht, normal",sonnig,,normal,,blau,70,100,No,Staude
Kornblume,Centaurea cyanus,normal,sonnig,,normal,"einjährig, zweijährig",blau,40,80,No,Staude
Gewöhnlicher Frauenmantel,Alchemilla xanthochlora,"feucht, normal","halbschattig, sonnig","August, Juli, Juni, Mai, November, Oktober, September",kalt,"Beetrand, Blattschmuck",gelb,20,40,Yes,Staude
Dunkle Akelei,Aquilegia atrata,"feucht, normal","halbschattig, sonnig","Juli, Juni",kühl,,violett,40,70,No,Staude
Blaue Bergminze,Agastache rugosa,normal,sonnig,,normal,,blau,40,70,No,Staude
